subject2,WhiteDirectMean,BlackDirectMean,WhiteIndirectMean,BlackIndirectMean,Indirect,Direct,IndirectR,DirectR,Condition,age,ethnicity,gender,Site,USvIT,ConditionF,USvITF
715,2.25,2.5,2.3333333333333335,2.4166666666666665,-0.08333333333333304,-0.25,0.9655172413793105,0.9,-1,19,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
717,2.25,2.5,3,2,1,-0.25,1.5,0.9,-1,NA,NA,NA,UCF,-1,-1,-1
719,2.25,2.5833333333333335,1.9166666666666667,2.9130434782608696,-0.9963768115942029,-0.3333333333333335,0.6579601990049752,0.8709677419354839,-1,18,Latino or Hispanic,2,UCF,-1,-1,-1
720,2.9166666666666665,3,3.25,3.25,0,-0.08333333333333348,1,0.9722222222222222,1,19,Latino or Hispanic,3,UCF,-1,1,-1
721,1.5833333333333333,1.3333333333333333,3,3,0,0.25,1,1.1875,-1,18,Latino or Hispanic,2,UCF,-1,-1,-1
723,3,3,2.5833333333333335,2.608695652173913,-0.0253623188405796,0,0.9902777777777778,1,-1,18,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
724,3.8333333333333335,3.9166666666666665,3.9583333333333335,3.9583333333333335,0,-0.08333333333333304,1,0.9787234042553192,1,20,African-American,1,UCF,-1,1,-1
725,3,2.6666666666666665,2.608695652173913,2.375,0.23369565217391308,0.3333333333333335,1.0983981693363845,1.125,-1,NA,NA,NA,UCF,-1,-1,-1
726,2.25,1.8333333333333333,2.2916666666666665,1.7916666666666667,0.4999999999999998,0.41666666666666674,1.2790697674418603,1.2272727272727273,1,19,Latino or Hispanic,2,UCF,-1,1,-1
728,3.4166666666666665,3.1818181818181817,3.391304347826087,3.4782608695652173,-0.08695652173913038,0.23484848484848486,0.975,1.0738095238095238,1,20,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
735,2.25,1.8333333333333333,2.2916666666666665,2.0833333333333335,0.20833333333333304,0.41666666666666674,1.0999999999999999,1.2272727272727273,-1,18,Latino or Hispanic,2,UCF,-1,-1,-1
736,2.75,2.75,2.9166666666666665,2.9583333333333335,-0.04166666666666696,0,0.9859154929577464,1,1,22,Latino or Hispanic,2,UCF,-1,1,-1
737,2.6666666666666665,2.8333333333333335,2.9583333333333335,2.875,0.08333333333333348,-0.16666666666666696,1.028985507246377,0.9411764705882352,-1,19,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
738,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.2083333333333335,0.45833333333333304,0.33333333333333304,1.2075471698113207,1.1428571428571428,1,18,Asian-American,2,UCF,-1,1,-1
739,2.1666666666666665,2.5833333333333335,2.25,2.375,-0.125,-0.41666666666666696,0.9473684210526315,0.8387096774193548,-1,21,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
750,2.0833333333333335,1.8333333333333333,2.4583333333333335,2,0.4583333333333335,0.2500000000000002,1.2291666666666667,1.1363636363636365,1,19,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
751,2.5,2.5833333333333335,3.5,2,1.5,-0.08333333333333348,1.75,0.9677419354838709,-1,30,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
752,3,2.75,3.8181818181818183,3.7777777777777777,0.040404040404040664,0.25,1.0106951871657754,1.0909090909090908,1,NA,NA,NA,UCF,-1,1,-1
753,3,3,4,4,0,0,1,1,-1,19,Latino or Hispanic,2,UCF,-1,-1,-1
754,2,2.5,2.625,2.625,0,-0.5,1,0.8,1,23,African-American,2,UCF,-1,1,-1
755,2.25,2.75,3,2.5833333333333335,0.4166666666666665,-0.5,1.161290322580645,0.8181818181818182,-1,21,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
757,2.5833333333333335,2.3333333333333335,3,2.9583333333333335,0.04166666666666652,0.25,1.0140845070422535,1.1071428571428572,-1,19,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
758,2.0833333333333335,2,2.9583333333333335,3,-0.04166666666666652,0.08333333333333348,0.9861111111111112,1.0416666666666667,1,22,Asian-American,2,UCF,-1,1,-1
759,2.8333333333333335,2.1666666666666665,2.7916666666666665,2.8333333333333335,-0.04166666666666696,0.666666666666667,0.9852941176470588,1.307692307692308,-1,19,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
760,4,4,3.9583333333333335,3.9166666666666665,0.04166666666666696,0,1.0106382978723405,1,1,18,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
761,2.5833333333333335,1.8333333333333333,2.8333333333333335,2.1666666666666665,0.666666666666667,0.7500000000000002,1.307692307692308,1.4090909090909092,-1,19,Asian-American,1,UCF,-1,-1,-1
762,3,3,3.0416666666666665,3.1666666666666665,-0.125,0,0.9605263157894737,1,1,19,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
763,3.25,3.25,2.7083333333333335,2.5416666666666665,0.16666666666666696,0,1.0655737704918034,1,-1,20,Latino or Hispanic,1,UCF,-1,-1,-1
764,2.5,3.25,2.8333333333333335,2.8333333333333335,0,-0.75,1,0.7692307692307693,1,26,African-American,1,UCF,-1,1,-1
765,2.4166666666666665,2.3333333333333335,3.0833333333333335,3.2083333333333335,-0.125,0.08333333333333304,0.961038961038961,1.0357142857142856,-1,20,Asian-American,2,UCF,-1,-1,-1
766,2.1666666666666665,2.75,2.625,3.2083333333333335,-0.5833333333333335,-0.5833333333333335,0.8181818181818181,0.7878787878787878,1,23,Asian-American,1,UCF,-1,1,-1
767,2.9166666666666665,2.75,2.75,2.875,-0.125,0.16666666666666652,0.9565217391304348,1.0606060606060606,-1,19,Latino or Hispanic,2,UCF,-1,-1,-1
768,2.3333333333333335,2.9166666666666665,2.5416666666666665,3.375,-0.8333333333333335,-0.583333333333333,0.7530864197530863,0.8,1,22,Latino or Hispanic,1,UCF,-1,1,-1
769,2.5,2.3333333333333335,2.6666666666666665,2.8333333333333335,-0.16666666666666696,0.16666666666666652,0.9411764705882352,1.0714285714285714,-1,19,Asian-American,2,UCF,-1,-1,-1
770,2,2,2.2916666666666665,2.25,0.04166666666666652,0,1.0185185185185184,1,1,19,Asian-American,2,UCF,-1,1,-1
771,2,2,2.0416666666666665,2,0.04166666666666652,0,1.0208333333333333,1,-1,21,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
772,2.6666666666666665,2,2,2,0,0.6666666666666665,1,1.3333333333333333,1,19,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
773,2.5,2,2.8333333333333335,2.75,0.08333333333333348,0.5,1.0303030303030303,1.25,-1,19,Asian-American,1,UCF,-1,-1,-1
775,3,3,2.5416666666666665,2.4583333333333335,0.08333333333333304,0,1.0338983050847457,1,-1,19,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
776,3,2.9166666666666665,2.7916666666666665,2.7916666666666665,0,0.08333333333333348,1,1.0285714285714287,1,19,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
777,3.3333333333333335,3.25,3.2083333333333335,3.2083333333333335,0,0.08333333333333348,1,1.0256410256410258,-1,18,Other,1,UCF,-1,-1,-1
778,2.4166666666666665,2.4166666666666665,3,2.9166666666666665,0.08333333333333348,0,1.0285714285714287,1,1,21,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
779,2.3333333333333335,2.4166666666666665,1.625,1.5416666666666667,0.08333333333333326,-0.08333333333333304,1.054054054054054,0.9655172413793105,-1,19,Latino or Hispanic,1,UCF,-1,-1,-1
780,3.4166666666666665,2.3333333333333335,3.0833333333333335,2.25,0.8333333333333335,1.083333333333333,1.3703703703703705,1.4642857142857142,1,22,Latino or Hispanic,2,UCF,-1,1,-1
